                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4437,                 1.8726,                 1.1312,                0.77661,                0.41459,                0.46074,                0.31662,                 1.1273,                   1.73,                 1.1326,               0.067363,             0.00032967,             0.00032967
                      1,                 1.2058,                 1.0459,                 1.0428,                 0.7412,                 0.4069,                0.42715,                0.29468,                 1.1074,                 1.3214,                 1.1229,               0.034356,             0.00065644,             0.00065644
                      2,                 1.1672,                0.93806,                  1.035,                0.86882,                0.48204,                0.53315,                0.38343,                 1.0487,                 1.0261,                 1.1252,              0.0013429,             0.00097661,             0.00097661
                      3,                 1.1238,                0.88537,                 1.0266,                0.85931,                0.48586,                0.55178,                0.38462,                 1.0568,                 1.0114,                 1.1126,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.0953,                0.83315,                 1.0126,                0.91676,                0.54239,                0.60445,                 0.4448,                 0.9898,                0.77319,                 1.1147,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0669,                0.79406,                  1.007,                0.92953,                0.56408,                0.61557,                0.46128,                0.95665,                0.72116,                 1.0669,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0473,                0.76346,                0.99528,                0.93192,                0.57212,                0.68685,                 0.5162,                0.94258,                0.69788,                 1.0692,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0268,                 0.7346,                0.99321,                0.80894,                0.73314,                0.78783,                0.55841,                0.92871,                0.70048,                 1.0632,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0115,                0.71186,                0.98516,                0.68657,                0.65196,                0.69379,                0.49478,                 0.9304,                0.82094,                 1.0503,              0.0009307,              0.0009307,              0.0009307
                      9,                0.99926,                0.69408,                 0.9803,                0.80452,                0.76831,                0.80405,                0.56709,                0.87281,                 0.6631,                 1.0383,              0.0009208,              0.0009208,              0.0009208
                     10,                0.98835,                0.67943,                0.97629,                0.86103,                0.79597,                0.86269,                0.64199,                0.87043,                0.61624,                 1.0421,              0.0009109,              0.0009109,              0.0009109
                     11,                0.97597,                0.66669,                0.97462,                0.84054,                0.81333,                0.87582,                0.66864,                0.84445,                0.59132,                 1.0175,               0.000901,               0.000901,               0.000901
                     12,                 0.9613,                0.64979,                0.96794,                0.83821,                0.74649,                0.80847,                0.57111,                0.90217,                0.60869,                 1.0426,              0.0008911,              0.0008911,              0.0008911
                     13,                0.96133,                0.65488,                0.97075,                0.90332,                0.79372,                0.86869,                0.63556,                0.88702,                0.61065,                   1.05,              0.0008812,              0.0008812,              0.0008812
                     14,                0.94003,                0.62109,                0.95846,                 0.8143,                0.82185,                  0.848,                0.62123,                0.88664,                0.62418,                 1.0534,              0.0008713,              0.0008713,              0.0008713
                     15,                0.94311,                0.62391,                0.96179,                0.81307,                0.77011,                 0.8299,                0.61698,                0.82467,                0.58332,                 1.0165,              0.0008614,              0.0008614,              0.0008614
                     16,                0.93487,                0.61567,                0.96108,                0.91048,                0.77564,                0.87326,                0.67974,                 0.8117,                0.59055,                 1.0162,              0.0008515,              0.0008515,              0.0008515
                     17,                0.93589,                0.61368,                0.96099,                0.88328,                 0.7951,                0.88221,                0.68192,                0.83409,                0.55754,                 1.0164,              0.0008416,              0.0008416,              0.0008416
                     18,                0.92184,                0.60458,                0.95477,                0.91899,                0.84008,                0.92472,                0.68789,                  0.811,                0.54746,                 1.0177,              0.0008317,              0.0008317,              0.0008317
                     19,                0.91435,                0.60001,                 0.9542,                0.90455,                0.83244,                0.90407,                 0.6862,                0.81085,                0.57357,                 1.0141,              0.0008218,              0.0008218,              0.0008218
                     20,                0.91342,                0.59521,                0.95311,                0.90219,                0.86435,                0.92721,                 0.7126,                0.78825,                0.51863,                0.99854,              0.0008119,              0.0008119,              0.0008119
                     21,                0.90631,                0.59148,                 0.9499,                0.86602,                0.81713,                0.90402,                0.71588,                0.81083,                0.56179,                 1.0142,               0.000802,               0.000802,               0.000802
                     22,                0.90522,                0.57754,                0.94797,                0.91956,                0.82877,                 0.8942,                0.68602,                0.78774,                0.51842,                 1.0033,              0.0007921,              0.0007921,              0.0007921
                     23,                0.89134,                0.57052,                0.94801,                0.85144,                0.76729,                0.83013,                 0.6619,                0.78604,                0.52168,                 1.0017,              0.0007822,              0.0007822,              0.0007822
                     24,                0.88752,                0.56845,                0.94121,                0.86804,                0.86767,                0.91746,                0.69525,                0.79673,                0.50794,                 1.0055,              0.0007723,              0.0007723,              0.0007723
                     25,                0.88377,                0.55904,                0.94556,                0.90616,                0.81098,                0.90207,                0.70632,                0.77438,                0.49315,                 1.0028,              0.0007624,              0.0007624,              0.0007624
                     26,                0.88607,                0.55677,                0.94153,                0.86149,                0.85351,                0.89726,                0.70209,                0.77334,                0.50427,                0.99827,              0.0007525,              0.0007525,              0.0007525
                     27,                0.88074,                0.55605,                0.94213,                0.92225,                0.85613,                  0.925,                0.71478,                0.80347,                0.50159,                 1.0108,              0.0007426,              0.0007426,              0.0007426
                     28,                0.87379,                0.55227,                0.94389,                0.85513,                0.80663,                0.87579,                0.68107,                0.76611,                0.47967,                0.99715,              0.0007327,              0.0007327,              0.0007327
                     29,                0.87523,                0.54785,                0.94253,                 0.8617,                0.82937,                0.87551,                0.65934,                0.76502,                0.50038,                0.99588,              0.0007228,              0.0007228,              0.0007228
                     30,                 0.8685,                0.55336,                 0.9376,                0.91181,                 0.8284,                0.89838,                0.71332,                0.75452,                 0.4736,                0.99528,              0.0007129,              0.0007129,              0.0007129
                     31,                0.85619,                0.53592,                0.93438,                0.89173,                0.86221,                0.92528,                0.71716,                0.76186,                0.46145,                0.99562,               0.000703,               0.000703,               0.000703
                     32,                0.85818,                0.53053,                0.93288,                0.95521,                 0.8844,                0.94026,                0.74055,                0.76279,                0.46742,                0.99404,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.8475,                0.52721,                0.93247,                0.92043,                0.83016,                0.90985,                0.71055,                 0.7425,                0.45208,                0.98793,              0.0006832,              0.0006832,              0.0006832
                     34,                0.85727,                0.53153,                0.93269,                0.93671,                0.83804,                0.92835,                0.73145,                 0.7804,                0.47223,                 1.0023,              0.0006733,              0.0006733,              0.0006733
                     35,                0.85002,                0.52426,                0.93496,                0.86989,                0.85936,                0.90678,                0.69688,                0.75309,                0.49802,                0.98975,              0.0006634,              0.0006634,              0.0006634
                     36,                0.85294,                0.52905,                0.93347,                0.85007,                0.84807,                0.86802,                0.65358,                0.76298,                 0.4636,                0.99743,              0.0006535,              0.0006535,              0.0006535
                     37,                0.83766,                0.52196,                0.92836,                0.92072,                0.80748,                 0.8981,                0.69905,                0.74465,                0.45144,                0.98751,              0.0006436,              0.0006436,              0.0006436
                     38,                0.83558,                0.51631,                0.92759,                0.80737,                0.81552,                0.87346,                0.69826,                0.75894,                0.49266,                0.99384,              0.0006337,              0.0006337,              0.0006337
                     39,                0.83378,                0.51076,                 0.9278,                0.88198,                0.84072,                0.89686,                0.67493,                0.75415,                0.46145,                0.99165,              0.0006238,              0.0006238,              0.0006238
                     40,                0.83892,                 0.5171,                0.92782,                 0.8759,                 0.8678,                 0.9335,                0.75561,                0.72679,                0.43881,                0.98051,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82689,                0.50792,                0.92689,                0.92485,                0.84811,                  0.933,                0.74018,                0.74254,                0.45012,                0.98759,               0.000604,               0.000604,               0.000604
